# colgem_fitter.py log
# start time: Thu Jan  8 10:16:55 2015
# input file: projects/hivepi/data/SIRTree.n1000.RLRootToTip.timetree.nwk
# annealing settings: tol0=0.020000, mintol=0.010000, decay=0.002500
# MCMC settings: {"phi": {"log": "false", "weight": 1.0, "min": 0.05, "max": 1.0, "initial": 0.2, "prior": "", "sigma": 0.1}, "N": {"log": "true", "weight": 2.0, "min": 200.0, "max": 100000.0, "initial": 2000.0, "prior": "norm(loc=8000, scale=3000)", "sigma": 0.2}, "p": {"log": "false", "weight": 0.0, "min": 0.0, "max": 1.0, "initial": 1.0, "prior": "lognorm(1)", "sigma": 0.0}, "beta": {"log": "true", "weight": 2.0, "min": 0.0, "max": 0.01, "initial": 0.002, "prior": "lognorm(0.5)", "sigma": 0.2}, "gamma": {"log": "false", "weight": 1.0, "min": 0.01, "max": 1.0, "initial": 0.2, "prior": "", "sigma": 0.1}, "t_end": {"log": "false", "weight": 1.0, "min": 13.822800531019794, "max": 15.205080584121776, "initial": 13.822800531019794, "prior": "uniform(loc=520, scale=2600)", "sigma": 0.5}}
# kernel settings: decay=0.350000 normalize=mean tau=0.500000 
state	score	N	beta	gamma	p	phi	t_end
23	0.921185840215	2146.8400155	0.000833593780836	0.174698178525	1.0	0.355837827531	14.3912677228
24	0.921185840215	2146.8400155	0.000833593780836	0.174698178525	1.0	0.355837827531	14.3912677228
25	0.937659692051	1718.72803386	0.000701424673183	0.198907791298	1.0	0.220410194723	13.9926859067
26	0.937659692051	1718.72803386	0.000701424673183	0.198907791298	1.0	0.220410194723	13.9926859067
27	0.937659692051	1718.72803386	0.000701424673183	0.198907791298	1.0	0.220410194723	13.9926859067
28	0.937659692051	1718.72803386	0.000701424673183	0.198907791298	1.0	0.220410194723	13.9926859067
29	0.937659692051	1718.72803386	0.000701424673183	0.198907791298	1.0	0.220410194723	13.9926859067
30	0.937659692051	1718.72803386	0.000701424673183	0.198907791298	1.0	0.220410194723	13.9926859067
31	0.932100304289	1878.60708816	0.000546215178057	0.316725482844	1.0	0.212742829384	13.9524767682
32	0.932100304289	1878.60708816	0.000546215178057	0.316725482844	1.0	0.212742829384	13.9524767682
33	0.930065849116	2052.93229947	0.000526485550596	0.324282460674	1.0	0.178856757906	13.9114221559
34	0.919056113261	1399.04065494	0.000477673684301	0.187738917513	1.0	0.228443009986	14.5259303068
35	0.942803693121	2432.20712943	0.000493169176262	0.0985544804947	1.0	0.242101261424	14.5025204949
36	0.942803693121	2432.20712943	0.000493169176262	0.0985544804947	1.0	0.242101261424	14.5025204949
37	0.949019719378	2620.21319119	0.000350708301536	0.125866037292	1.0	0.221189582782	14.7949862975
38	0.949019719378	2620.21319119	0.000350708301536	0.125866037292	1.0	0.221189582782	14.7949862975
39	0.949019719378	2620.21319119	0.000350708301536	0.125866037292	1.0	0.221189582782	14.7949862975
40	0.949019719378	2620.21319119	0.000350708301536	0.125866037292	1.0	0.221189582782	14.7949862975
41	0.947688732475	2506.30182768	0.000323997117865	0.17086144186	1.0	0.163766740144	15.0173013434
42	0.941345278584	2596.77411944	0.000423338751344	0.165747222954	1.0	0.185011914388	15.0878122974
43	0.941345278584	2596.77411944	0.000423338751344	0.165747222954	1.0	0.185011914388	15.0878122974
44	0.941345278584	2596.77411944	0.000423338751344	0.165747222954	1.0	0.185011914388	15.0878122974
45	0.941345278584	2596.77411944	0.000423338751344	0.165747222954	1.0	0.185011914388	15.0878122974
46	0.939111404353	2741.28839233	0.000492914162178	0.25198328159	1.0	0.257626029592	14.5619635334
47	0.95021254391	2604.38760353	0.000327384870749	0.134676970305	1.0	0.242515964879	14.4906913794
48	0.95021254391	2604.38760353	0.000327384870749	0.134676970305	1.0	0.242515964879	14.4906913794
49	0.947739158914	2510.57566849	0.00040260563963	0.182630688213	1.0	0.231462617988	14.7225701462
50	0.947739158914	2510.57566849	0.00040260563963	0.182630688213	1.0	0.231462617988	14.7225701462
51	0.947739158914	2510.57566849	0.00040260563963	0.182630688213	1.0	0.231462617988	14.7225701462
52	0.947739158914	2510.57566849	0.00040260563963	0.182630688213	1.0	0.231462617988	14.7225701462
53	0.910143004919	1983.97637854	0.000343368666917	0.203106157464	1.0	0.338638769524	14.6507186962
54	0.929394201066	1579.29564037	0.000458099292876	0.14800187769	1.0	0.248558752748	14.493885947
55	0.929394201066	1579.29564037	0.000458099292876	0.14800187769	1.0	0.248558752748	14.493885947
56	0.929817015929	2245.24437428	0.000367563165484	0.17005798227	1.0	0.0977908907187	14.1275953443
57	0.929817015929	2245.24437428	0.000367563165484	0.17005798227	1.0	0.0977908907187	14.1275953443
58	0.929817015929	2245.24437428	0.000367563165484	0.17005798227	1.0	0.0977908907187	14.1275953443
59	0.929817015929	2245.24437428	0.000367563165484	0.17005798227	1.0	0.0977908907187	14.1275953443
60	0.929817015929	2245.24437428	0.000367563165484	0.17005798227	1.0	0.0977908907187	14.1275953443
61	0.929817015929	2245.24437428	0.000367563165484	0.17005798227	1.0	0.0977908907187	14.1275953443
62	0.929817015929	2245.24437428	0.000367563165484	0.17005798227	1.0	0.0977908907187	14.1275953443
63	0.923219771895	2125.32176332	0.000414117524119	0.10006377796	1.0	0.108338795019	14.6289168565
64	0.938735590838	2053.43877007	0.000383986267359	0.0486582649349	1.0	0.404185744681	14.7304170343
65	0.938735590838	2053.43877007	0.000383986267359	0.0486582649349	1.0	0.404185744681	14.7304170343
66	0.945823423635	2139.64759171	0.000549381111001	0.104579856766	1.0	0.384860991325	14.9996316567
67	0.945823423635	2139.64759171	0.000549381111001	0.104579856766	1.0	0.384860991325	14.9996316567
68	0.948424762811	2499.56735346	0.00051096682623	0.0692756388479	1.0	0.351785268628	14.7058023174
